Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Annually,Obtain clean audit annually,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,Maintain a clean audit opinion for 2022/23 FY,,,N/A,N/A,,,,389
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Development of the ICT system,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Requirements Gathering and Business Requirement signed.,"Achieved
Requirements
Gathering and
Business Requirements process completed and
signed-off.
",N/A,N/A,,,,,,,,,,,,,,,,,,,,,Development of the ERP system by 31 March 2024,-,,,,,,,389
,Public Protector of South Africa,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Implementation of the ICT system ,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,Approved business case of the CMS Self-Service Portal. ,"Achieved
Business Case for the CMS Self-Service Portal drafted and approved.
",N/A,N/A,,,,,,,,,,,,,,,,,,,,,Implementation of a CMS Self-Service Portal by 31 March 2024,-,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Annually,Number of systemic investigations/interventions,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,N/A,N/A,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Number of cases finalised by means of advice given and / or assistance rendered,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,150,513,"As a result of established relations through MOUs and collaborations with other stakeholders, over achievement was recorded due to referrals and/or rejections for further handling by appropriate bodies.",N/A,,,150,,,,,,100,,,,,,100,,,,,,500,513,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Number of cases finalised through investigation,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,500,562,Monitoring of investigations to ensure adherence to standard operating procedures and service standard.,N/A,,,600,,,,,,400,,,,,,500,,,,,,2000,562,,,,,,,389
,Public Protector of South Africa,National,Programme 2: Investigations,Programme 2: Investigations,Quarterly,Percentage of adherence to turnaround times in finalisation of cases,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,80 %,96 %,"Monitoring of investigations to ensure adherence with standard operating procedures, service standard and turnaround times.",N/A,,,80 %,,,,,,80 %,,,,,,80 %,,,,,,80 %,96 %,,,,,,,389
,Public Protector of South Africa,National,Programme 3: Stakeholder Management,Programme 3: Stakeholder Management,Quarterly,Number of activities executed in the implementation plan of the Integrated Access and Stakeholder Management Strategy,Not Applicable,Not  Applicable,Not Applicable,Not Applicable,84,93,"The over achievement was due to identifying a bigger pool of CBOs to enable negations in Quarter 2. 
3 CBOs that met the set requirements will be selected for collaboration on advocacy matters at the grassroots level, through the negotiation processes.
",N/A,,,81,,,,,,82,,,,,,81,,,,,,328,93,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage implementation of Strategic Risks Treatment Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,5 %,"Target not achieved.
",Finalise consultations and start implementing the Risk Treatment Plan.,,,40 %,,,,,,70 %,,,,,,100 %,,,,,,100 %,5 %,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Human Capital Management Plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 %,10 %,Target not achieved. ,Revision of Plan to be done in Q2.,,,35 %,,,,,,65 %,,,,,,90 %,,,,,,90 %,10 %,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Information Management Plans,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,30 %,Target not achieved,Revision of Plan to be done in Q2.,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,30 %,,,,,,,389
,South African Human Rights Commission,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage Implementation of Internal Audit Plan,Not Applicable,Not  Applicable,"An efficient, effective and development-oriented public service",Governance and Administration cluster,10,10,Target achieved ,,,,40,,,,,,70,,,,,,100,,,,,,100,-,,,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Annually,Number of National Schools Moot Court Competitions hosted,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,Participated in Moot Court Action Planning Process is ongoing. ,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of strategic stakeholder engagements conducted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",63,114,"overachievement resulted  
 from stakeholder engagement in the form of invitations received by the commission ",,,,67,,,,,,68,,,,,,66,,,,,,264,114,,,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of Human Rights awareness initiative reports completed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",9,3,Delay in conducting and completing initiatives reports . Catchup plans developed to balance the the performance deficit in Q2 ,,,,11,,,,,,11,,,,,,6,,,,,,37,3,,,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Number of human rights educational material (HREM) developed,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",2,0,Delays in conceptualizing ,,,,0,,,,,,1,,,,,,1,,,,,,2,0,,,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Percentage Implementation of Media and Communications Plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,10 %,Target achieved,,,,40 %,,,,,,70 %,,,,,,100 %,,,,,,100 %,10 %,,,,,,,389
,South African Human Rights Commission,National,Programme 2: Promotion of Human Rights,Programme 2: Promotion of Human Rights,Quarterly,Percentage implementation of the Annual SHINE plan,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 %,10 %,Target achieved ,,,,40 %,,,,,,60 %,,,,,,80 %,,,,,,80 %,10 %,,,,,,,389
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of complaints and enquiries finalised,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1500,3675,Target achieved,,,,1700,,,,,,1200,,,,,,1203,,,,,,6803,3675,,,,,,,389
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of initiatives undertaken to address systemic human rights violations,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20,3,Target not achieved ,Recovery plan to be implemented in Q2.,,,40,,,,,,60,,,,,,120,,,,,,120,3,,,,,,,389
,South African Human Rights Commission,National,Programme 3: Protection of Human Rights,Programme 3: Protection of Human Rights,Quarterly,Number of High Court matters instituted ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0,1,Target achieved   ,,,,5,,,,,,10,,,,,,15,,,,,,15,1,,,,,,,389
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Annually,Number of International and Regional Human Rights (IRHR) Research Outputs completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,Target achieved.,,,,,389
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Number of State of Human Rights (SOHR) in SA Research Outputs completed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1,1,Target achieved ,,,,0,,,,,,1,,,,,,0,,,,,,1,1,,,,,,,389
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Percentage submission of identified NHRI Reports by deadline,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,10 %,Target not achieved ,Will develop Database in Q2,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,10 %,,,,,,,389
,South African Human Rights Commission,National,Programme 4: Monitoring of Human Rights,Programme 4: Monitoring of Human Rights,Quarterly,Percentage submission on identified legislation by deadline,Not Applicable,Max,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100 %,5 %, Target not achieved ,Will develop Database in Q2,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,5 %,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually, Percentage of interns enrolled against funded posts,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,5 %,,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of prioritised manual services modernised,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Annually,Number of SAC awareness campaigns activated to  profile the work of the Department,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly,Number of Izimbizo held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",3,1,"The izimbizo programme is led by Ministry.
The new DSAC Ministry commenced on 07 March 2023 and thus the month of March and April was used for transition and handover. 

In addition, the Minister and DM had several internal and external stakeholder engagements outlining the Ministry priorities for 2023/24 and further understanding the role and work of the various stakeholders within the sport and arts & culture sectors. Thus, only one imbizo of the total three was achieved. 
","There is a cabinet instruction that Izimbizo must be held during Fridays from the 2nd Quarter, which will ensure that we overachieve (+5 Izimbizo) to recover the 1st Quarter target. 

The 1st Ministerial Imbizo is planned for 26th July 2023 at Centane, Eastern Cape.
",,,3,,,,,,2,,,,,,1,,,,,,9,1,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of valid invoices paid within 30 days,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,-,-,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,389
,"Sport, Arts and Culture",National,Programme  1: Administration ,Programme  1: Administration ,Quarterly, Percentage of councils/boards that are fully  constituted,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,-,-,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of community outdoor gyms and children's parks constructed ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Annually,Number of heritage legacy facilities (including the Resistance and Liberation Heritage Route [RLHR] sites ) developed and / or maintained to transform the national heritage landscape,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of athletes supported through the scientific support programme per year ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,-,-,,,40,,,,,,40,,,,,,0,,,,,,80,0,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of athletes supported by the sports academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",500,1183,"The over-achievement is based on the response to the added need to provide support to more provincial federations. The original provincial plans are based on the number of athletes to be supported in response to theirs, and the needs of their provincial federations.",-,,,1000,,,,,,1200,,,,,,1000,,,,,,3700,1183,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of people actively participating in organised sport and active recreation events,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",70000,101383,"Most people
participated in the
national days like
Freedom Day and
Youth day celebration in most
provinces.
2023 Netball World
Cup 100 days count
down and Trophy
tours attracted a
number of
participants.
Ministerial Outreach
contributed to the
increased number in
participation.
",-,,,75000,,,,,,75000,,,,,,75000,,,,,,295000,101383,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of sport and recreation promotion campaigns and events implemented,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",1,1,-,-,,,2,,,,,,3,,,,,,2,,,,,,8,1,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire as per the established norms and standards",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,323,"More Schools and Clubs were supported through the Ministerial Outreach program as well as the 2023 Netball World Cup activations.
",-,,,500,,,,,,1000,,,,,,1000,,,,,,2500,323,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of learners in the National School Sport Championships per year,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,2337,"The achievement is a result of Autumn
Championships (for high schools), which took place in April 2023 for both Swimming and Athletics.

","The School Sport Programme is
currently going through a review
that will in future better inform the implementation approach and related reporting.

",,,2500,,,,,,2500,,,,,,0,,,,,,5000,2337,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly, Number of learners participating at the district school sport tournaments,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",10000,63376,"More schools participate depending on when activities are held in their districts (e.g. not clashing with tests, or other important school activities). When the timing suit the schools, the appetite to participate in various sporting codes increase, thus, also increasing the overall participants’ numbers. ","The exceeded performance points to a need to review the target for this indicator. This review of targets will be informed by the School Sport Programme review that is currently underway. 

Planning for the new MTSF also creates an
opportunity to review the targets.
",,,30000,,,,,,30000,,,,,,5000,,,,,,75000,63376,,,,,,,389
,"Sport, Arts and Culture",National,Programme 2: Recreation Development and Sport Development,Programme 2: Recreation Development and Sport Development,Quarterly,Number of municipalities provided with technical and /or management support during construction ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",50,50,-,-,,,50,,,,,,50,,,,,,50,,,,,,50,50,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of capacity building projects supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,22,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of bursaries awarded for the development of qualified language practitioners per year,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,250,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of Provincial Community Arts Development Programmes implemented per year.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,9,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of initiatives against gender-based violence and femicide financially supported ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,3,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of international relations strategies developed,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"International Cooperation, Trade and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of moral regeneration movement projects supported by government,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,5,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of projects through which target groups are supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,8,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually, Number of artists placed in schools per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,340,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,Number of reports produced by SACO,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,16,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Annually,"Number of films and documentaries supported telling stories of the history of liberation, cultural and heritage importance",Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,10,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of youth focused arts development programmes financially supported ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,N/A,N/A,,,1,,,,,,1,,,,,,2,,,,,,4,0,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly, Number of multi-year human language technology projects supported,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,N/A,N/A,,,2,,,,,,3,,,,,,1,,,,,,6,0,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Percentage of official documents received that are translated and/or edited ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",100 %,100 %,N/A,N/A,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,100 %,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of local and international market access platforms supported ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",0,0,N/A,N/A,,,0,,,,,,7,,,,,,8,,,,,,15,0,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of community conversations/dialogues implemented to foster social interaction per year,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",5,6,The overachievement was caused by the impromptu request to collaborate with UNCHR to implement and foster dialogue around the plight of refugees in our country on World Refugee Day”.,N/A,,,5,,,,,,5,,,,,,5,,,,,,20,6,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly,Number of advocacy platforms on social cohesion implemented by social cohesion advocates,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",5,7,The overachievement was due to the two partnerships where the expertise of Social Cohesion Advocates was sought by the social partners to enhance Social Cohesion and Nation Building   ,N/A,,,5,,,,,,5,,,,,,5,,,,,,20,7,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly, Number of National Days’ celebrations held,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",2,2,N/A,N/A,,,2,,,,,,1,,,,,,1,,,,,,6,2,,,,,,,389
,"Sport, Arts and Culture",National,Programme 3: Arts and Culture Promotion and Development ,Programme 3: Arts and Culture Promotion and Development ,Quarterly, Number of projects in the creative industry supported through the Mzansi Golden Economy programme,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",9,9,N/A,N/A,,,11,,,,,,18,,,,,,52,,,,,,90,9,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Annually,Number of students awarded with heritage bursaries per year,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,45,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Annually, Number of books documenting Living Human Treasures published,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,5,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Annually,Number of heritage legacy projects where exhibition content is developed.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-,-,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of progress reports on resistance and liberation heritage route sites received and analysed,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Governance, State Capacity and Institutional Development cluster",1,1,-,-,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of public awareness activations on the “I am the Flag” campaign,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",6,20,There was a drive by our provincial partners in KwaZulu-Natal to reach many schools in focused on the rural King Cetshwayo District,The Department will encourage its provincial partners to roll out these campaigns within the envisaged targets,,,6,,,,,,4,,,,,,4,,,,,,20,20,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of flags provided to schools,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,30,31,There was an over performance linked to the activations rolled out in the schools in KwaZulu-Natal,-,,,30,,,,,,20,,,,,,20,,,,,,100,31,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of workshops hosted to advance knowledge of National Symbols.,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,2,3,There was a demand from the Gauteng Department of Education,-,,,3,,,,,,3,,,,,,2,,,,,,10,3,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly, Number of records digitised,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,75,559,"Target was exceeded due to the Appointment of ASD/Sound Preservation, 1 intern on a 24-month internship, 2 contractors on 6 months contract.",-,,,75,,,,,,75,,,,,,75,,,,,,300,559,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of libraries financially supported per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"The Social Protection, Community and Human Development cluster",32,32,-,-,,,32,,,,,,32,,,,,,32,,,,,,32,32,,,,,,,389
,"Sport, Arts and Culture",National,Programme 4: Heritage Promotion and Preservation ,Programme 4: Heritage Promotion and Preservation ,Quarterly,Number of Gazette notices on standardised geographical names published,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,0,0,-,-,,,1,,,,,,1,,,,,,1,,,,,,3,0,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Date of finalisation of the Information Systems and Information and Communication Technology Business Continuity Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,2024/03/31,,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of new mobile contacts points procured,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,389
