Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,DesiredPerformance,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q1,OTP_Q4,UID
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: INFRASTRUCTURE PLANNING,Annually,Number of consolidated infrastructure plans developed,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,1,1,,,,,1,1,,Target achieved,N/A,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: INFRASTRUCTURE PLANNING,Annually,Number of km of gravel roads visually assessed as per the applicable TMH Manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,0,0,,N/A,N/A,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: INFRASTRUCTURE PLANNING,Annually,Number of km of surfaced roads visually assessed as per the applicable TMH Manual,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,0,0,,N/A,N/A,,,,,,,,,,,,,,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: MAINTENANCE,Quarterly,Number of  square metres of blacktop patching on municipal roads,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",7200,6263.03,5800," 6,100.00 
",4300," 3 087,98 
",1700,"907.3
",19000,0,14636.62,,,,,Plant breakdowns in the Dr Ruth Segomotsi Mompati District resulted in an under-achievement.  ,Procurement of diesel and materials is in progress.,"Target achieved and exceeded.

Additional requests for assistance from municipalities in the Dr Ruth Segomotsi Mompati District resulted in additional output registered.","N/A
",,"The target was not achieved.

Work done on municipal roads is dependent on the requests received from local municipalities and initiatives such as Thuntsa Lerole, which were limited due to the festive season.

","N/A
",,"The work done on municipal roads is dependent on the requests received from local municipalities and initiatives such as Thuntsa Lerole.  All requests were attended to during the quarter.
","N/A
",,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: MAINTENANCE,Quarterly,Number of km of gravel roads bladed ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2000,3561.66,6000," 4,619.00 
",3800," 6 941,69 
",2200,"4167.21
",14000,0,18912.35,,,,,"The target was achieved and exceeded.

Additional work was performed outside of official working hours, resulting in over-achievement in respect of the planned outputs.
",The programme of works will be monitored to ensure that the expenditure remains within the allocated budget.,"Target not achieved.

The reason for under-performance is low grader availability as a result of breakdowns in the Dr. Kenneth Kaunda and Dr. Ruth Segomotsi Mompati Districts.
","Procurement of additional capacity has commenced in Dr Ruth Segomotsi Mompati to address backlog.
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Target achieved and exceeded.

Over-performance was due to the use of in-sourcing of yellow fleet to augment the departmental fleet.
",N/A,,"Target achieved and exceeded.

Additional work was undertaken due to the poor road conditions following the heavy and prolonged rainfall experienced during the quarter.

","N/A
",,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: MAINTENANCE,Quarterly,Number of km of gravel roads re-gravelled,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",19,39.38,76,0,65,,5,,165,0,,,,,,"The target was achieved and exceeded.

Additional work was completed through in-house teams.
",The programme of works will be monitored to ensure that the expenditure remains within the allocated budget.,N/A,N/A,,,,,,,,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: MAINTENANCE,Quarterly,Number of km of gravel roads re-gravelled,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Building Roads (Specifically Rural roads),"The Economic Sectors, Employment and Infrastructure Development cluster",19,,51," 51.50 
",50,1.50,10,0,130,0,106.38,,,,The higher the number indicates positive performance.,,,Target achieved.,N/A,,The implementation of re-gravelling projects was impacted by budgetary challenges resulting from the introduction of financial austerity measures by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation.,"The re-gravelling projects of 2024/25 will be carried over to the 2025/26 financial year for implementation.
",,"The target was not achieved.

The Department underachieved due to poor contractor performance on the project Re-gravelling of Road D2430 Delareyville to Migdol.
",The Department has issued poor performance letter and requested a recovery plan from the contractor in order to complete the works.,,,59
Public Works,Public Works,North West,Programme 3: Transport Infrastructure ,SUB-PROGRAMME: MAINTENANCE,Quarterly,Number of square metres of blacktop patching on provincial roads,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",14000,16581.47,30000,17641.00,18500," 41 216,97 
",8500,"14513.36
",71000,0,85164.09,,,,,"The target was achieved and exceeded.

Additional work was performed, resulting in over-achievement of the planned outputs.
",The programme of works will be monitored to ensure that the expenditure remains within the allocated budget.,Trucks breakdowns for Patchwork teams in Dr. Kenneth Kaunda and Dr. Ruth. Segomotsi Mompati district.,Districts to prioritise repairs of trucks.,The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Target achieved and exceeded.

Over-performance was due to the use of in-sourcing of yellow fleet to augment the departmental fleet.
",N/A,,"Target achieved and exceeded.

Additional work was undertaken due to the poor road conditions following the heavy and prolonged rainfall experienced during the quarter.

",N/A.,,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of  EPWP work opportunities created - Public Works  Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",291,523,1000,612,1500,626,1800,624,1800,624,624,,,,,None.,None.,"The targets were not achieved due to the following:

* Recruitment was put on hold temporarily due to budgetary constraints.
* The EPWP Reporting System is still open for reporting and final outputs will be verified.
","The intake of additional beneficiaries will be dependent on budget availability.	
",,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 



","The Progamme, as per directive of DMC has been halted further recruitment of participants, only those who were at verification stage will be considered for appointment. The currently recruited numbers will be used as baseline targets for the next financial year due to financial constraints.",Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,The department need to state the reason for over achievement,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of  EPWP work opportunities created - Transport Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",8669,8303,12500,,13500,,14000,9199,14000,9199,9199,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
",,Output not reported,,,Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,"Recruitment has been suspended; only those who are at verification stage will be considered for appointment. 
",The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of  EPWP work opportunities created - Transport Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",8669,,10000,8799,12000,"8,995",14000,,14000,0,,,,,The higher the number indicates positive performance,,,"The targets were not achieved due to the following:

* Recruitment was put on hold temporarily due to budgetary constraints.
* The EPWP Reporting System is still open for reporting and final outputs will be verified.
","The intake of additional beneficiaries will be dependent on budget availability.	
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 



",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,,,,Output not reported and reason for deviation not stated,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of persons with disabilities employed - Public Works Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",6,2,20,15,30,15,36,15,36,15,15,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 




",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of persons with disabilities employed - Transport Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",173,10,250,34,270,20,280,28,280,28,28,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 





",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of women employed - Public Works Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",648,224,600,303,900,330,1080,329,1080,329,329,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied a,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 



 

",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,"Recruitment has been suspended; only those who are at verification stage will be considered for appointment. 
",The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of women employed - Transport Infrastructure  Sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5040,,6000,5 377,7200,5 970,8400,,8400,0,,,,,The higher the number indicates positive performance.,,,"1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 





",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,,,,Output not reported and reason for deviation not stated,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of women employed - Transport Infrastructure  Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",5040,4302,7500,,8100,,8400,6079,8400,6079,6079,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
",,Output not reported ,,,Output not reported and reason for deviation not stated,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants
",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of youth employed (18-35) - Public Works Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",160,424,550,471,825,514,990,507,990,507,507,,,,,None.,None.,"""
1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 



","The Progamme, as per directive of DMC has been halted further recruitment of participants, only those who were at verification stage will be considered for appointment. The currently recruited numbers will be used as baseline targets for the next financial year due to financial constraints.",Output not reported and reason for deviation not stated,Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants,"Recruitment has been suspended; only those who are at verification stage will be considered for appointment. 
",The department need to state the reason for over achievement,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of youth employed (18-35) - Transport Infrastructure Sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",4768,,5500,4 696,6600,4 969,7700,,7700,0,,,,,The higher the number indicates positive performance.,,,"1. Participants recruitment is temporarily put on hold due to budgetary contraints within the programme and department

2. The EPWP Reporting Systems for quarter 2 is still open and does not interface with M&E system, thus it creates challenges in accurate reporting from the two systems.""	
","The current, recruited number of EPWP should be the target for 2024/25 FY due to budget constraints until there is available budget for further intake.		
",The department to de develop an improvement plan with clear timeliness on how underperformance will be remedied ,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants. 



",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,Output not reported and reason for deviation not stated,,,,Output not reported and reason for deviation not stated,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: COMMUNITY DEVELOPMENT,Quarterly,Number of youth employed (18-35) - Transport Infrastructure Sector,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",4768,2790,6875,,7425,,7700,4984,7700,4984,4984,,,,,"The targets in relation to the overall number of work opportunities created in the Public Works sector and for the category of youth in particular, were achieved.

The remainder of the targets were not achieved, due to the following reasons:

1.	Some of the newly recruited participants had to be excluded after verification confirmed that they had previously participated in the EPWP programme.

2.	The process of recruitment in the Ditsobotla district is not yet completed.

3.	The process of ensuring that recruited participants that are appointed on PERSAL system are also reflected on the EPWP Reporting System is still underway.

4.	The EPWP Reporting System was still open for reporting as at 30 June 2024.
","The processes related to verification and reconciliation of appointments on both the PERSAL and EPWP Reporting System and recruitment of beneficiaries in the Ditsobotla area will be completed in Quarter 2.

The National Department of Public Works and Infrastructure is in the process of finalizing a framework to enhance participation of persons with disabilities in EPWP.
","""
",,Output  not reported ,,,Output not reported and reason for deviation not stated,"Austerity measures introduced by National Treasury in the 2023/24 financial year and the reduction in the 2024/25 departmental budget allocation affected the Department’s ability to recruit further participants
",Recruitment has been suspended; only those who are at verification stage will be considered for appointment. ,The department to develop a recovery plans with clear timelines and responsibilities,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: EPWP COORDINATION AND MONITORING,Quarterly,Number of public bodies reporting on EPWP targets in the Province,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",36,26,36,,36,,36,,36,0,,,,,,The EPWP Reporting System is still open for Quarter 1 reporting as at 30 June 2024.,"
Under reporting will be addressed with relevant bodies once the final report is available.",,,Report on targeted outputs not provided,,,Output not reported and reason for deviation not stated,,,The department to develop a recovery plans with clear timelines and responsibilities,Output not reported and reason for deviation not stated,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: EPWP COORDINATION AND MONITORING,Quarterly,Number of public bodies reporting on EPWP targets in the Province,Non-Standardized,Min,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",36,,35,35,35,34,35,35,35,0,35,,,,The higher the number indicates positive performance.,,,"None.	
",N/A,"Output, reason for variation and corrective measure not aligned","The Department of Cooperative Governance, Human Settlement and Traditional Affairs (COGHSTA) was erroneously deleted from the EPWP Reporting system.","The Department of COGHSTA has been re-registered in the EPWP Reporting System and will start reporting from Quarter 4.
",,"Target achieved.
",N/A.,,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: INNOVATION AND EMPOWERMENT,Quarterly,Number of contractors participating in the departmental  Contractor Development Programme - Transport Infrastructure Sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",120,0,120,0,120,"52
",120,52,120,52,52,,,,,The target was not achieved due to delays in finalization of the adjudication processes.,The challenges have been addressed and the process will be completed during Quarter 2.,"
The target was not achieved, as the final adjudication was not finalized as planned.","The process will be completed in Quarter 3.	
",,"The total number of contractors participating in the departmental Contractor Development Programme is 52.  
 
Forty-seven contractors participated in Transport Infrastructure sector projects and twenty-nine in Public Works Infrastructure sector projects (some contractors were allocated projects in both sectors).
The rollout of the new intake is at the final stage of adjudication.
",The adjudication process will be completed in Quarter 4.,Output not reported instead reason for deviation reported as output. Kindly correct,"The total number of contractors participating in the departmental Contractor Development Programme is 52 of the previous intake.  
 


",The intake of the new participants will take place during the 1st quarter of the 2025/26 financial year.,,,59
Public Works,Public Works,North West,PROGRAMME 4: COMMUNITY-BASED PROGRAMME ,SUB-PROGRAMME: INNOVATION AND EMPOWERMENT,Quarterly,Number of contractors participating in the departmental Contractor Development Programme - Public Works Infrastructure Sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",40,0,40,0,40,52,40,52,40,52,,,,,,The target was not achieved due to delays in finalization of the adjudication processes.,The challenges have been addressed and the process will be completed during Quarter 2.,"
The target was not achieved, as the final adjudication was not finalized as planned.
","	
The process will be completed in Quarter 3.",,"The total number of contractors participating in the departmental Contractor Development Programme is 52.  
 
Forty-seven contractors participated in Transport Infrastructure sector projects and twenty-nine in Public Works Infrastructure sector projects (some contractors were allocated projects in both sectors).
The rollout of the new intake is at the final stage of adjudication.

",The adjudication process will be completed in Quarter 4.,Output not reported instead reason for deviation reported as output. Kindly correct,"The total number of contractors participating in the departmental Contractor Development Programme is 52 of the previous intake.

",The intake of the new participants will take place during the 1st quarter of the 2025/26 financial year.,,,59
