Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,DesiredPerformance,National_Q1,National_Q3,National_Q4,OTP_Q1,UID
,Cooperative Governance,North West,Programme 2: Local Governance,Sub Programme 2.2:  Municipal Finance,Quarterly,"Number of municipalities supported to reduce Unauthorized, Irregular, Wasteful and Fruitless expenditure (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,"1 District municipality supported to reduce unauthorized, irregular, wasteful and fruitless expenditure namely:

?	Bojanala DM",1,"1 municipality supported to reduce unauthorized, irregular, wasteful and fruitless expenditure namely:

•	Dr Kenneth Kaunda DM
",1,"1 municipality supported to reduce unauthorized, irregular, wasteful and fruitless expenditure namely:
•	Dr Ruth Segomotsi Mompati District
",4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Annually,"Number of Section 47 Reports compiled as prescribed by the MSA (Linked to MTSF 2019 – 2024, Priority 1) (B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,"Number of municipalities supported to institutionalize the performance management system (PMS) (Linked to MTSF 2019 – 2024, Priority 1)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",22,22,22,22 municipalities were  supported to institutionalize the   performance management systems,22,22 municipalities supported to institutionalize the   performance management systems,22,22 municipalities were supported to institutionalize the   performance management systems,22,22,22,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 2: Local Governance,"Sub Programme 2.5: Municipal Performance Monitoring, Reporting and Evaluation",Quarterly,Number of Section 105(1) reports compiled as prescribed by the MSA,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",1,1,1,1 Section 105(1) reports compiled as prescribed by the MSA,1,1 Section 105(1) report compiled as prescribed by the MSA,1,1 Section 105(1) reports compiled as prescribed by the MSA,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.1: Municipal Development Planning,Annually,"Number of Districts/ Metros monitored on the implementation of One Plans (MTSF 2019 - 2024, Priority 5:Spatial integration, human settlements and local government) ",Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,4,4,4,4,4,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.1: Municipal Development Planning,Annually,Number of municipalities with legally compliant IDPs,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",22,0,,,,,,,22,0,22,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.1: Municipal Development Planning,Quarterly,Number of municipalities supported to implement 5% of MIG towards LED projects,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Tackling Unemployment (2019-2024),"Governance, State Capacity and Institutional Development cluster",5,4,5,"6 municipalities supported to implement 5% of MIG towards LED projects namely:
?	Madibeng LM
?	Lekwa Teemane LM
?	Rustenburg LM
?	Matlosana LM
?	JB Marks LM

?	Lekwa Teemane LM
",5,"5 municipalities supported to implement 5% of MIG towards LED projects namely:
•	Madibeng LM
•	Matlosana LM
•	Lekwa Teemane LM
•	JB Marks LM
•	Rustenburg LM
",5,"5 municipalities were supported to implement 5% of MIG towards LED projects namely:
•	Madibeng LM
•	Matlosana LM
•	Lekwa Teemane LM
•	JB Marks LM
•	Rustenburg LM
",5,4,5,None,None,,The Lekwa Teemane Local Municipality have run out of funds for the taxi ranks and the municipality requests for additional funding to complete the scope of work.,To conduct a site visit to the taxi rank project in August 2024 to verify the scope of work to be completed.,Lekwa Teemane was not achieved in Q1 and only recovered in Q2,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.1: Municipal Development Planning,Quarterly,Number of municipalities supported with the implementation of SPLUMA ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",Provision of Houses,"Governance, State Capacity and Institutional Development cluster",14,14,14,"14 municipalities supported with the implementation of SPLUMA namely:
Tswaing
Ditsobotla
Ratlou
Ramotshere Moiloa
Kgetleng rivier
Moses Kotane
Moretele
Greater Taung
Lekwa Teemane
Mamusa
Kagisano Molopo
JB Marks
Maquassi hills
Matlosana
",14,"14 municipalities supported with the implementation of SPLUMA namely:
•	Ditsobotla LM
•	Ratlou LM
•       Tswaing
•	Ramotshere Moiloa LM
•	Kgetlengrivier LM
•	Moses Kotane LM
•	Moretele LM
•	Greater Taung LM
•	Lekwa Teemane LM
•	Mamusa LM
•	Kagisano Molopo LM
•	JB Marks LM
•	Maquassi hills LM
•	Matlosana LM
",14,"14 municipalities supported with the implementation of SPLUMA namely:

•	Tswaing LM
•	Ditsobotla LM
•	Ratlou LM
•	Ramotshere Moiloa LM
•	Kgetleng rivier LM
•	Moses Kotane LM
•	Moretele LM
•	Greater Taung LM
•	Lekwa Teemane LM
•	Mamusa LM
•	Kagisano Molopo LM
•	JB Marks LM
•	Maquassi hills LM
•	Matlosana LM
",14,14,14,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.1: Municipal Development Planning,Quarterly,"Number of work opportunities reported through Community Work Programme (CWP)(MSTF 2019-2024, Priority 2)",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,2. Tackling Unemployment (2019-2024),"Governance, State Capacity and Institutional Development cluster",21200,20612,21200,20 313 work opportunities reported through Community Work Programme ,21200,20 010 work opportunities reported through Community Work Programme,21200,14 918 Work opportunities reported through Community Work Programme,21200,20612,14918,Recruitment on hold due to cost containment,•	DCOG has and continuously engaging the National Treasury to request additional funding,,Recruitment of CWP beneficiaries is on hold due to cost containment,Department to liaise with National COGTA on the embargo imposed on recruitment of Community Works Programme throughout the second Quarter  ,Recruitment on hold due to cost containment,Department to liaise with National COGTA on the embargo imposed on recruitment of Community Works Programme.  ,Recruitment on hold due to cost containment,DCOG has and continuously engaging the NT to request additional funding,"CWP Circular No.13 of 2024 issued by DCoG to remove
participants  over the age of 55 years affected participation target
",None,"1) provide reasons for viriance 
2) Provide remedial action ",,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.2: Integrated Municipal Infrastructure  ,Quarterly,Number of Districts monitored on the spending of National Grants,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",3. Fighting crime and corruption (2019-2024),"Governance, State Capacity and Institutional Development cluster",4,4,4,"4 Districts monitored on the spending of National Grants namely:

Ngaka Modiri Molema District DM
Dr Kenneth Kaunda DM
Dr Ruth Segomotsi Mompati DM
Bojanala  DM
",4,"4 Districts monitored on the spending of National Grants namely:
•	Ngaka Modiri Molema District DM
•	Dr Kenneth Kaunda DM
•	Dr Ruth Segomotsi Mompati DM
•	Bojanala  DM
",4,"4 Districts were monitored on the spending of National Grants namely:

•	Ngaka Modiri Molema DM
•	Dr Kenneth Kaunda DM
•	Dr Ruth Segomotsi Mompati DM
•	Bojanala DM
",4,4,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.2: Integrated Municipal Infrastructure  ,Quarterly,Number of municipalities monitored on the implementation of indigent policies (Sub-outcome 1)(B2B Pillar 2)),Non-Standardized,Not  Applicable,Priority 4: Consolidating the Social Wage through Reliable and Quality Basic Services,1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",5,3,5,"0
",5,"5 municipalities monitored on the 
implementation of indigent policies namely:
•	Rustenburg LM
•	Madibeng LM
•	Moretele LM
•	Moses Kotane LM
•	Kgetlengrivier LM
",3,"3 municipalities were monitored on the implementation of indigent policies namely:

•	Matlosana LM
•	JB Marks LM
•	Maquassi Hills LM
",18,3,18,None,None,,"Mamusa
There was no direct point of contact as it relates to the programme within the municipality. The official who assists on an adhoc basis has not been available.

Kagisano Molopo
There was instability within the municipality which resulted in the closure of offices and operations for some time.
",A Meeting with both municipalities has been arranged to be convened in Mahikeng on the 5th July 2024.,Non achievement was due to unavailability of indigent Policy assessment reports. Assessments were made through Presentations during one-on-one engagements with municipalities.	,To ensure that municipalities sign indigent policy assessment reports in the month of November 2024,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.2: Integrated Municipal Infrastructure  ,Quarterly,"Number of municipalities monitored on the implementation of infrastructure delivery programmes (Outcome 9, sub - outcome 1)(B2B Pillar 5)",Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",5,5,5,"5 municipalities monitored  on the implementation of infrastructure delivery programmes namely:
Mahikeng
Ratlou
Tswaing
Ditsobotla
Ramotshere Moiloa
",5,"5 municipalities monitored  on the implementation of infrastructure delivery programmes namely:
•	Rustenburg LM
•	Madibeng LM 
•	Moretele LM
•	Moses Kotane LM
•	Kgetlengrivier LM
",3,"3 municipalities were monitored  on the implementation of infrastructure delivery programmes namely:

•	Matlosana LM
•	JB Marks LM
•	Maquassi Hills LM
",18,5,18,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Annually,Number of district municipalities supported to enhance climate protection and reduce losses,Non-Standardized,Not  Applicable,Priority 7: A better Africa and the World,1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",,,,,,,4,4,4,4,4,None,None,,,,,,,,,,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of Disaster Management Centres supported with the implementation of Disaster Management Information Systems,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,"1 disaster management centers supported with the implementation of Disaster management Information Systems namely:
  Ngaka Modiri Molema DM",1,"1 disaster management center supported with the implementation of Disaster management Information Systems namely:
•	Bojanala DM
",1,"1 Disaster management center was supported with the implementation of Disaster Management Information Systems namely:
•	Dr Kenneth Kaunda District Municipality
",4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of IGR Disaster Management Advisory Forum coordinated,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",1,1,1,1 IGR Disaster management advisory  forum coordinated,1,1 IGR Disaster management advisory  forum coordinated,1,1 report on the IGR Disaster management advisory  forum coordinated,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported on Fire Brigade Services,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",3,3,3,"3 municipalities supported with Fire Brigade Services namely:
 DR KK DM
JB Marks
Matlosana
",2,"2 municipalities supported with Fire Brigade Services namely:
•	Dr RSM DM
•	Naledi LM",2,"2 municipalities were supported with fire brigade services namely:
•	Ngaka Modiri Molema DM
•	Mahikeng LM",10,3,10,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of municipalities supported to maintain functional Disaster Management Centres,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",4,4,6,"6 municipalities supported to maintain functional disaster management centers namely:
Bojanala DM
Kgetlengrivier LM
Madibeng  LM
Moretele LM
Moses Kotane LM
Rustenburg LM
",6,"6 municipalities supported to maintain functional disaster management centers namely:
•	Dr RSM DM
•	Greater Taung LM 
•	Kagisano Molopo LM
•	Mamusa LM
•	Lekwa-Teemane LM
•	Naledi LM",6,"6 municipalities supported to maintain functional disaster management centers namely:
•	Ditsobotla
•	Mahikeng
•	Ramotshere Moiloa
•	Ratlou
•	Tswaing
•	Ngaka Modiri Molema
",22,4,22,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 3: Development and Planning,Sub Programme 3.5: Disaster Management,Quarterly,Number of reports on the implementation of sector disaster management plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",1,1,1,1 report on the implementation of sector disaster management plan,1,1 report on the implementation of sector disaster management plan,1,1 report on the implementation of sector disaster management plan produced,4,1,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 4: Traditional Affairs,Programme 4: Traditional Affairs,Quarterly,Number of Anti GBVF Intervention/campaigns for traditional leadership (Pillar 2: Prevention and Restoration of Social Fabric of the NSP),Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",0,0,2,0,1,"2 Anti GBVF Intervention/campaigns for traditional leadership:
•	1 for Quarter 3
•	1 for Quarter 2
",0,1 Anti GBVF Intervention/campaign for traditional leadership,3,0,3,None,None,,None,None,Outreach programs were not performed due to Training of  Dikgosi that was held in the second quarter.," Two Outreach programs will be conducted in the third quarter.as follows:
08 October 2024 In Ganalaagte under Bakolobeng Traditional council
the other outreach program  will be conducted in the month of  December in Ganyesa, under Tlou Le Tau Traditional Council
","1 Anti GBVF campaign was not achieved in the second quarter, and was recovered in the third quarter",None,The actual performance is as a result of a recovery for 2nd quarter target.,None,,,,,,,100
