Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Disaster Management Programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",None,,None,,"Disaster Risks identification
and assessment conducted","Disaster risk identification and assessment conducted, and draft disaster risks and mitigation strategies developed.","Disaster Risks Report
developed",Disaster risks and mitigation strategies report developed and approved.,"Disaster risks
identification
conducted",-,Dister risk identification was conducted and mitigation strategies report was developed and approved,None,None,"The Department
achieved the
planned target.
Disaster risk
identification
was conducted,
and mitigation
strategies was
developed and
approved",,,,,None,None,None,None,198
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented District  Developmental Model Plan,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Not Achieved.,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated","Coordinated inputs from the department and SOCs for the development of the DDM Plan.

Drafted a submission to the Director General to approve the DDM Plan to be coordinated, and to nominate a DDG to champion DDM across the sector. 

Invited COGTA to address MANCO regarding institutionalization of DDM and managing expectations for DDM by sector departments. 

Participated in the Capricorn District technical and mayoral meetings in support of the Deputy Minister as the DDM political champion.

Supported the minister and SOC participation in the Eastern Cape Presidential DDM Oversight Imbizo.
","Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Implementation of DDM Plan in the prioritized Districts/ Metros was coordinated.,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",Implementation of DDM Plan in the prioritized Districts / Metros was coordinated. ,"Implementation of DDM 
Plan in the prioritized Districts/ 
Metros coordinated",-,The Department was unable to fully coordinate the DDM Plan in the prioritised Districts / Metros.,"Implementation of DDM Plan in
the prioritised
Districts/ Metros was not coordinated in quarter 1, 2 and 3 of the reporting period
",DDM activities will be coordinated in the 24/25 FY..,"The Department
did not
achieve the
planned target
on coordinating
the Implementation
of
DDM Plan in
the prioritized
Districts/ Metros.",Delays in finalising the coordination of DDM activities  ,Catch-up report to be done in quarter 2.,Delays in finalising DDM plan,Catch-up plan to be developed to achieve target in Q3,Inadequate supporting evidence.,Engagement with the Project Manager for alignment of supporting evidence and Reporting in Q4.,None,None,198
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Implemented Gender  Responsive Annual  Performance Plan in line with  the GRBPMEA Framework,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two Branches and three SOCs coordinated","Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two additional Branches and three additional SOCs coordinated","Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual Performance Plan focusing on Responsive udgeting, Planning Monitoring, Evaluation and Auditing in two additional Branches and three additional SOCs coordinated","Implementation of Annual 
Performance Plan focusing 
on Responsive Budgeting, 
Planning Monitoring, 
Evaluation and Auditing in 
two Branches and three SOCs 
coordinated ","Implementation of Annual
Performance Plan focusing on Responsive Budgeting, Planning Monitoring, Evaluation and Auditing in two remaining SOCs was coordinated.
","Gender Responsive 
Annual Performance Plan 
coordinated",-,Gender Responsive Annual Performance Plan was coordinated during the reporting period,None,None,"The
Department
achieved
the planned
target. Gender
Responsive
Annual
Performance
Plan was
coordinated",The report was not aligned to the quarterly target  ,Catch-up report to be done in quarter 2.,Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,None,None,None,None,198
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,"Number of monitoring  reports on the participation  of Women, Youth and  Persons with Disabilities  in procurement, SMME  Development and  Employment Equity in the ICT  Sector",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"2022/23 Q4 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","Q4 Monitoring report developed on the participation of women, youth, and persons with disabilities participation in procurement, SMME Development and Employment Equity in the ICT Sector","2023/24 Q1 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","2023/24 Q1 Monitoring report developed on the participation of women, youth, and persons with disabilities participation in procurement, SMME Development and Employment Equity in the ICT Sector","2023/24 Q2 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector",Not Achieved,"2023/24 Q3 Monitoring 
report developed on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector","2023/24 Q3 Monitoring report on the participation of women, youth, and persons with disabilities participation in
procurement and Employment Equity in the ICT Sector was developed.","4 Monitoring reports on the 
participation of women, 
youth, and persons with 
disabilities participation 
in procurement, SMME 
Development and 
Employment Equity in the ICT 
Sector",-,The Department was not able to achieve this annual target.,"The Department was unable to develop the monitoring reporting during the reporting period due to inadequate relevant information focusing of the SMME
Development.
",Source relevant availability  information to support the target.    ,"The
Department
did not
achieve the
planned target
of monitoring
reports on the
participation of
women, youth,
and persons
with disabilities
participation in
procurement,
SMME
Development
and
Employment
Equity in the
ICT Sector.",The attached report did not contain relevant information,  Catch-up report to be done in quarter 2.,Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,Delayed submission of the performance information and supporting evidence.,Engagement with the Project Manager for prioritisation in Q4.,The SMME development is not covered in the monitoring report submitted.,The monitoring report to include the SMME Development performance information. ,198
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Percentage (%) increase  of DCDT integrated Plan  of Action implemented in  support of the NSP on GBV,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Not Applicable,"10% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV","10% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV
Through implementation in two provinces in May and June 2023","20% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",20% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV,"40% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",40% increase of DCDT integrated Plan of Action implemented in support of the NSP on GBV,"60% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV","60% increase of DCDT
integrated Plan of Action was
implemented in support of
the NSP on GBV.
","60% increase of DCDT 
integrated Plan of Action 
implemented in support of 
the NSP on GBV",-,60% increase of DCDT integrated Plan of Action was implemented in support of the NSP on GBV.,None,None,"The
Department
achieved the
planned target.
60% increase
of DCDT
integrated Plan
of Action was
implemented
in support of
the NSP on
GBV.",The report lacked relevant information to measure percentage increase of implementation of Action Plan. Lack of alignment with quarterly target.   ,Catch-up report to be done in quarter 2.,Lack of alignment of evidence with achievement  ,Catch-up plan to be developed to achieve target in Q3,None,None,None,None,198
,Communication and Digital Technologies,National,ADMINISTRATION,ADMINISTRATION,Quarterly,Percentage (%) of valid  invoices paid within 30 days  from date of receipts,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"100% of valid invoices paid 
within 30 days from date of 
receipt",All valid invoiced received from suppliers for the period 1 April – 30 June 2023 were paid within 30 days.,"100% of valid invoices paid 
within 30 days from date of 
receipt",All invoiced received from suppliers for the period 1 July – 30 September 2023 were paid within 30 days.,"100% of valid invoices paid 
within 30 days from date of 
receipt","All invoiced received from suppliers for the period October - December 2023 were paid within 30 days.

The exception report on 30-day payments for October - December 2023 were submitted to National Treasury before the monthly deadlines.
","100% of valid invoices paid 
within 30 days from date of 
receipt",100% of valid invoices were paid within 30 days from date of receipt.,"100% of valid invoices paid 
within 30 days from date of 
receipt",-,100% valid invoiced received from suppliers during the reporting period were paid within 30 days.,None,None,"The
Department
has achieved
the planned
target. 100%
valid invoices
were paid
within 30 days
from date of
receipt.",None,None,None,None,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Analysed SOEs Performance  Reports,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Analysis of received SOEs’ 
Q4 reports for FY 2022/23 
developed and submitted ","Q4 analysis report developed and submitted for: SABC, ICASA, FPB, Postbank, SAPO, BBI, SITA, Nemisa, USAASA, zaDNA, Sentech","Analysis of received SOEs’ 
Q1 reports for FY 2023/24 
developed and submitted ","Q1 Performance analysis reports for the FY 2023/24 for SABC, ICASA, FPB, Sentech, SAPO, Postbank, Nemisa, BBI, SITA, ZADNA, USAASA were developed and submitted.","Analysis of received SOEs’ 
Q2 reports for FY 2023/24 
developed and submitted ",Analysis of Q2 reports for the entities were developed and submitted.,"Analysis of received SOEs’ 
Q3 reports for FY 2023/24 
developed and submitted ","Q3 performance reports of the entities BBI, FPB, ICASA, Sentech, SITA, USAASA, SAPO, Postbank, zaDNA, Nemisa and SABC were developed, analysed and submitted.","Service Delivery of SOEs 
on received performance 
and compliance Reports 
analysed and submitted ",-,"The Department
 has successfully analysed and submitted Service Delivery of State-Owned Enterprises (SOEs) on received performance and compliance reports.",None,None,"The Department
achieved the
planned target.
Service Delivery
of State-Owned
Enterprises (SOEs)
on received
performance
and compliance
reports were
analysed and
submitted.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Approved Shareholder  compacts by the Entities’  Boards,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,-,The development of the monitoring report on the Post Acquisition integration report done and submitted to Director General’s Office.,-,,"Development of the 
Shareholder’s Compacts for 
the 2024/25 financial year 
commenced by reviewing 
the 2023/4 Shareholder’s 
Compacts  ",Development of Shareholder Compacts for 2024/25 commenced by reviewing the 2023/24 Compacts.,"SOE Boards’ approval of 
the 2024/25 Shareholder 
Compacts facilitated ",SOE Boards’ approval of the 2024/25 Shareholder Compacts were facilitated.,"Development of Shareholder 
compacts of Schedule 2 and 
3B entities facilitated ",-,"The Department
 has successfully facilitated the approval of the Shareholder compacts of Schedule 2 and 3B entities by the Entities’ Boards.",None,None,"The Department
achieved the
planned target.
Development
of Shareholder
compacts of
Schedule 2 and
3B entities was
facilitated.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented Performance  Management System for  ICASA Councilors,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Implementation of the 
Performance Management 
System monitored ",Memo on the Signing of the Performance Management Agreement of ICASA councillors submitted.,"Implementation of the 
Performance Management 
System monitored ","As reported previously, members of the public nominated candidates that will serve on the evaluation panel and applications were received, the closing date for applications was set for the 08th of September 2023. A submission to DG to propose names for the committee to shortlist potential candidates from the nominations was developed and submitted.","Implementation of the 
Performance Management 
System monitored ","Implementation of the Performance Management
System was monitored.
","Implementation of the 
Performance Management 
System monitored ",Implementation of the Performance Management Systems was monitored.,"Implementation of the ICASA 
Councilors Performance 
Management System 
monitored ",-,"The Department
 has achieved the planned target. The implementation of the ICASA Councillors Performance Management System was successfully monitored.",None,None,"The Department
achieved
the planned
target. The
implementation
of the ICASA
Councillors
Performance
Management
System was
monitored.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented Postbank  Strategy,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Monitoring Report on the 
implementation of Postbank 
strategy developed ",Monitoring report developed on the implementation of Postbank Strategy and submitted to Director General’s Office.,"Monitoring Report on the 
implementation of Postbank 
strategy developed ",Monitoring report on the implementation of Postbank strategy was developed.,"Monitoring Report on the 
implementation of Postbank 
strategy developed ",Memo on the monitoring of the implementation of Postbank strategy was developed.,"Monitoring Report on the 
implementation of Postbank 
strategy developed ",Monitoring report on the implementation of Postbank Strategy was developed.,"Implementation of the 
Postbank strategy towards 
State Bank monitored",-,"The Department
 has successfully monitored the Implementation of the Postbank strategy towards State Bank.",None,None,"The Department
achieved the
planned target.
Implementation
of the Postbank
strategy towards
State Bank was
monitored.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented Rationalization  Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Monitoring Report on the Post acquisition integration report 
developed ",The development of the monitoring report on the Post Acquisition integration report done and submitted to Director General’s Office.,"Monitoring Report on the Post acquisition integration report 
developed ",Monitoring report on the post-acquisition report was developed and submitted.,"Monitoring Report on the Post acquisition integration report 
developed ",Memorandum on the monitoring of the Post Acquisition of BBI by Sentech developed.,"Monitoring Report on the Post acquisition integration report 
developed ",Monitoring report on the Post Acquisition Integration of BBI into SENTECH was developed.,"Post-acquisition integration of 
BBI into SENTECH monitored ",-,"The Department
 has successfully implemented the Rationalisation Plan through monitoring the Post-acquisition integration of BBI into SENTECH.",None,None,"The Department
achieved the
planned target.
Post-acquisition
integration of
BBI into SENTECH
was monitored.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SABC  Turnaround Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Monitoring Report on SABC’s 
implementation of the 
Turnaround Plan developed ",Monitoring Report on SABC’s implementation of the Turnaround Plan developed and submitted to Director General’s Office.,"Monitoring Report on SABC’s 
implementation of the 
Turnaround Plan developed ",Monitoring report on SABC’s implementation of the Turnaround Plan was developed and submitted.,"Monitoring Report on SABC’s 
implementation of the 
Turnaround Plan developed ",Memorandum on the monitoring of the SABC implementation of the Turnaround Plan was developed.,"Monitoring Report on SABC’s 
implementation of the 
Turnaround Plan developed ",Monitoring report on the SABC Implementation Turnaround Plan was developed.,"Implementation of the SABC 
Turnaround Plan monitored ",-,The Department has successfully monitored the implementation of the SABC Turnaround Plan.,None,None,"The Department
achieved the
planned target.
Implementation
of the SABC
Turnaround Plan
was monitored.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SAPO  Reposition Strategy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Monitoring Report on 
the implementation of 
SAPO’s Reposition Strategy 
developed ",Monitoring report developed on the implementation of SAPO reposition strategy and submitted to Director General’s Office.,"Monitoring Report on 
the implementation of 
SAPO’s Reposition Strategy 
developed ",Monitoring report on the implementation of SAPO's Reposition Strategy was developed.,"Monitoring Report on 
the implementation of 
SAPO’s Reposition Strategy 
developed ",The target was revised,"Monitoring Report on 
the implementation of 
SAPO’s Reposition Strategy 
developed ",Target was revised,"Implementation of SAPO 
Reposition Strategy monitored ",-,"The Department
 has achieved the planned target. The implementation of the South African Post Office (SAPO) SAPO Reposition Strategy was successfully monitored. ",None,None,"
The
Department
achieved
the planned
target. The
implementation
of SAPO
Reposition
Strategy was
monitored.",None,None,None ,None ,The target was revised,The target was revised,,,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Implemented SAPO Business Rescue Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",None,,None,,"SAPO Business Rescue Plan
Monitoring Report developed",Memo on the monitoring of SAPO Business Rescue Plan was developed.,"SAPO Business Rescue Plan
Monitoring Report developed",Monitoring report on SAPO Business Rescue Plan was developed.,"Development of SAPO
Business Rescue Plan
monitored",-,"The Department
 has achieved the planned target. The implementation of the SAPO Business Rescue Plan was monitored.              ",None,None,"The Department
achieved the
planned target.
Development of
SAPO Business
Rescue Plan was
monitored.
",,,,,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Number of SITA Repurposing  monitoring reports,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Monitoring Report on 
Repurposing of SITA 
developed ",The monitoring report developed on SITA repurposing and submitted to Director General’s Office.,"Monitoring Report on 
Repurposing of SITA 
developed ",Monitoring report on Repurposing of SITA was developed.,"Monitoring Report on 
Repurposing of SITA 
developed ",Memo on the monitoring of the Repurposing of SITA was developed.,"Monitoring Report on 
Repurposing of SITA 
developed ",Monitoring report on Repurposing of SITA was developed.,"4 SITA Repurposing monitoring 
reports ",-,The Department has achieved the planned target.  The four (4) SITA repurposing monitoring reports were developed.,None,None,"The Department
achieved
the planned
target. 4 SITA
repurposing
monitoring
reports were
developed
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,ICT ENTERPRISE AND PUBLIC ENTITY OVERSIGHT,Quarterly,Number of USAASA  Disestablishment monitoring  reports,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"Monitoring Report on USAASA 
disestablishment developed ",Monitoring Report on USAASA disestablishment developed and submitted to Director General’s Office.,"Monitoring Report on USAASA 
disestablishment developed ",Monitoring report on USAASA disestablishment was developed.,"Monitoring Report on USAASA 
disestablishment developed ",Memorandum on the monitoring of USAASA disestablishment was developed.,"Monitoring Report on USAASA 
disestablishment developed ",Monitoring Report on USAASA Disestablishment was developed.,"4 USAASA Disestablishment 
monitoring reports ",-,The Department  has achieved the planned target.  The four (4) USAASA Disestablishment monitoring reports were developed.,None,None,"The Department
has achieved
the planned
target. 4 USAASA
Disestablishment
monitoring
reports were
developed.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Automated e-Government  Services,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Not Applicable,"List of priority eGovernment 
services to be automated 
finalized ",Finalised list of priority e-Government services to be automated on the e-Portal.,"Quarterly progress/ monitoring 
report on the automation of 
the e-Government services 
on the e-Portal monitored ",Automation of the e-Government services on the e-Portal was monitored. ,"Quarterly progress/ monitoring 
report on the automation of 
the e-Government services 
on the e-Portal monitored ",Quarterly progress/ monitoring report on the automation of the e-Government services on the e-Portal was monitored.,"Annual progress/ monitoring 
report on the automation of 
the e-Government services 
on the e-Portal monitored ",Annual progress/ monitoring report on the automation of the e-Government services on the e-Portal was developed.,"Automation of the 
e-Government services on 
the e-Portal monitored ",-,"The Department
 has successfully monitored the automation of e-Government Services on the e-portal. 
 ",None,None,"The Department
achieved the
planned target.
Automation of
e-Government
Services on the
e-portal was
monitored.
",None,None,None ,None ,None,None,None,None,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Coordinated Digital and  Future Skills programme,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Implementation of Digital 
and Future Skills coordinated 
through multi-stakeholder 
partnerships",Implementation of Digital and Future Skills was coordinated through multi-stakeholder partnerships.,"Implementation of Digital 
and Future Skills coordinated 
through multi-stakeholder 
partnerships ",Implementation of the Digital and Future Skills Programme was successfully coordinated.,"Implementation of Digital 
and Future Skills coordinated 
through multi-stakeholder 
partnerships ",The target was revised,"Implementation of Digital 
and Future Skills coordinated 
through multi-stakeholder 
partnerships ",Target was revised,"Digital and Future Skills 
programmes coordinated 
through multi-stakeholder 
partnerships ",-,"The Department

 has successfully coordinated the implementation of the Digital and Future Skills Programme.",None,None,"The Department
achieved the
planned target.
Digital and
Future Skills
programmes
was coordinated
through multistakeholder
partnerships.
",None,None,None ,None ,The target was revised,The target was revised,,,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Developed Local Digital  Products and Services,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Call for new digital products 
to be included on DigiTech 
AppStore facilitated ",The call for new digital products on the DigiTech Appstore was delayed. Implementation of Microsoft SA MoU kicked off with support to existing SMMES.,"2 new Partnership 
agreements with industry 
to support DigiTech SMMEs 
facilitated ",Two partnership agreements were drafted with Google SA and Cisco SA to support DigiTech SMMEs,"2 new Partnership 
agreements with industry 
to support DigiTech SMMEs 
facilitated ",Output Indicator was revised,-,-,"Four (4) partnership 
agreements with industry to 
support DigiTech products 
and services facilitated ",-,"The Department
 did not achieve the target as planned. ","There were technical challenges with the DigiTech website from SITA and had to suspend conducting the call for new digital products,
 as SMMEs must register through the website. Furthermore, there were delays in approval of the MoUs as they were to be vetted by companies’ legal unit.

","Resolve technical challenges with the DigiTech website from SITA and call for new digital products,
 as SMMEs to register through the website. Facilitate approval of the MoUs as they were to be vetted by companies’ legal unit.
","The Department
did not achieve
the planned
target. The
Department
managed to
facilitate at
least two (2)
partnership
agreements
with industry to
support DigiTech
products and
services.
","We experience technical challenges with the DigiTech website from SITA and had to suspend conducting the call for new digital products, as SMMES have to register through the website.",SITA has addressed the technical challenges and we will publish a new call for digital products on the DigiTech website by end of July 2023.,There were delays in approval of the MoUs as they were to be vetted by companies’ legal units.,Approval of the two MoUs will be concluded by end October 2023.,Output Indicator was revised,"Output Indicator was revised
",,,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented Digital and Future Skills Strategy,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",None,,None,,"Implementation of Digital and
Future Skills Strategy through
multi-stakeholder partnerships
monitored",Implementation of Digital and Future Skills Strategy through multi-stakeholder partnerships was monitored.,"Implementation of Digital and
Future Skills Strategy through
multi-stakeholder partnerships
monitored
",The implementation of Digital and Future Skills Strategy through multi-stakeholder partnerships was monitored.,"Implementation
of Digital
and Future
Skills Strategy
monitored",-,"The Department
 has achieved the target. The implementation of Digital and Future Skills Strategy was successfully monitored. ",None,None,"The Department
achieved the
planned target.
Implementation
of Digital and
Future Skills
Strategy was
monitored.
",,,,,"Inadequate performance information and alignment of supporting evidence, implementation Plan and Strategy.",Engagement with project Manager to improve performance reporting and alignment with supporting evidence. ,None,None,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Implemented National Artificial Intelligence (AI) Plan,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",None,,None,,"Draft National Artificial
Intelligence (AI) Plan
developed",Draft National Artificial Intelligence (AI) Plan was developed.,"National Artificial Intelligence
(AI) Plan developed and
submitted for approval",The National Artificial Intelligence (AI) Plan was developed and submitted for approval. ,"National Artificial Intelligence
(AI) Plan developed and
approved",-,"The Department
 has successfully developed and approved the National Artificial Intelligence (AI) Plan as planned. ",None,None,"The Department
achieved the
planned target.
National Artificial
Intelligence
(AI) Plan was
developed and
approved.
",,,,,None,None,None,None,198
,Communication and Digital Technologies,National,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,ICT INFORMATION SOCIETY AND CAPACITY DEVELOPMENT,Quarterly,Number of AI centres of  excellence in supporting AIISA,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Not Applicable,"Concept approach 
developed & catalytical 
projects identified at AI 
centres of excellence ",The concept approach was developed and catalytical projects were identified at Al centres of excellence.,"MOA and TORs developed for 
identified institutions ",Memorandum of Agreement (MOA) and Terms of Reference (TORs) were developed for the identified institutions.,"2 AI centres of excellence 
launched for inclusion in the 
Artificial Intelligence Institute 
of South Africa (AIISA) ",The target was revised,"2 AI centres of excellence 
launched for inclusion in the 
Artificial Intelligence Institute 
of South Africa (AIISA) ",Target was revised,"4 AI centres of excellence 
included in the Artificial 
Intelligence Institute of South 
Africa (AIISA) network ",-,"The Department
 
has identified AI Hubs namely: UNIVEN, CUT, UKZN, DUT and CEMIS to be added to the AI centres of excellence in support of the Artificial Intelligence Institute of South Africa (AIISA) network. ",None,None,"The Department
achieved the
planned target.
2 AI centres
of excellence
were included
in the Artificial
Intelligence
Institute of South
Africa (AIISA)
network.
",None,None,None ,None ,The target was revised,The target was revised,,,198
